"time_sec","total_count","normal_ratio","blank_screen_ratio","end_early_ratio","no_act_ratio","no_delivery_ratio","handoff_ratio","refresh_ratio"
"2018-09-17 10:00:00",1,0,0,0,0,1,0,0
"2018-09-17 10:30:00",1,0,0,0,0,1,0,0
"2018-09-17 11:00:00",2,0,0,0,0,2,0,0
"2018-09-17 11:30:00",1,0,0,0,0,1,0,0
"2018-09-17 11:45:00",1,0,0,0,0,1,0,0
"2018-09-17 12:00:00",2,0,0,0,0,2,0,0
"2018-09-17 12:30:00",1,0,0,0,0,1,0,0
"2018-09-17 14:00:00",1,0,0,0,0,1,0,0
"2018-09-17 14:15:00",2,0,0,0,0,2,0,0
"2018-09-17 15:15:00",2,0,0,0,0,2,0,0
"2018-09-17 15:45:00",2,0,0,0,0,2,0,0
"2018-09-17 16:00:00",2,0,0,0,0,2,0,0
"2018-09-17 16:15:00",1,0,0,0,0,1,0,0
"2018-09-17 16:45:00",1,0,0,0,0,1,0,0
"2018-09-17 17:15:00",1,0,0,0,0,1,0,0
"2018-09-17 17:30:00",3,0,0,0,0,3,0,0
"2018-09-17 17:45:00",2,0,0,0,0,2,0,0
"2018-09-17 18:00:00",3,0,0,0,0,3,0,0
"2018-09-17 18:45:00",2,0,0,0,0,2,0,0
"2018-09-17 19:00:00",5,0,0,0,0,5,0,0
"2018-09-17 19:15:00",3,0,0,0,0,3,0,0
"2018-09-17 19:30:00",3,0,0,0,0,3,0,0
"2018-09-17 19:45:00",3,0,0,0,0,3,0,0
"2018-09-17 20:00:00",4,0,0,0,0,4,0,0
"2018-09-17 20:15:00",3,0,0,0,0,3,0,0
"2018-09-17 20:30:00",3,0,0,0,0,3,0,0
"2018-09-17 20:45:00",4,0,0,0,0,4,0,0
"2018-09-17 21:00:00",1,0,0,0,0,1,0,0
"2018-09-17 21:30:00",4,0,0,0,0,4,0,0
"2018-09-17 21:45:00",9,0,0,0,0,9,0,0
"2018-09-17 22:00:00",6,0,0,0,0,6,0,0
"2018-09-17 22:15:00",5,0,0,0,0,5,0,0
